id,mssubclass,lotfrontage,lotarea,overallqual,overallcond,yearbuilt,yearremodadd,masvnrarea,bsmtfinsf1,bsmtfinsf2,bsmtunfsf,totalbsmtsf,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,totrmsabvgrd,fireplaces,garageyrblt,garagecars,garagearea,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,miscval,mosold,yrsold,alley,utilities,landslope,exterqual,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,heatingqc,electrical,kitchenqual,functional,fireplacequ,garagefinish,garagequal,garagecond,paveddrive,poolqc,fence,mszoning_FV,mszoning_RH,mszoning_RL,mszoning_RM,street_Pave,lotshape_IR2,lotshape_IR3,lotshape_Reg,landcontour_HLS,landcontour_Low,landcontour_Lvl,lotconfig_CulDSac,lotconfig_FR2,lotconfig_FR3,lotconfig_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition1_Feedr,condition1_Norm,condition1_PosA,condition1_PosN,condition1_RRAe,condition1_RRAn,condition1_RRNe,condition2_Norm,condition2_PosA,condition2_RRNn,bldgtype_2fmCon,bldgtype_Duplex,bldgtype_Twnhs,bldgtype_TwnhsE,housestyle_1.5Unf,housestyle_1Story,housestyle_2.5Fin,housestyle_2.5Unf,housestyle_2Story,housestyle_SFoyer,housestyle_SLvl,roofstyle_Gable,roofstyle_Gambrel,roofstyle_Hip,roofstyle_Mansard,roofmatl_Membran,roofmatl_Tar&Grv,roofmatl_WdShake,roofmatl_WdShngl,exterior1st_BrkFace,exterior1st_CemntBd,exterior1st_HdBoard,exterior1st_MetalSd,exterior1st_Plywood,exterior1st_Stone,exterior1st_Stucco,exterior1st_VinylSd,exterior1st_Wd Sdng,exterior1st_WdShing,exterior2nd_Brk Cmn,exterior2nd_BrkFace,exterior2nd_CmentBd,exterior2nd_HdBoard,exterior2nd_ImStucc,exterior2nd_MetalSd,exterior2nd_Plywood,exterior2nd_Stone,exterior2nd_Stucco,exterior2nd_VinylSd,exterior2nd_Wd Sdng,exterior2nd_Wd Shng,masvnrtype_BrkCmn,masvnrtype_BrkFace,masvnrtype_None,masvnrtype_Stone,extercond_Fa,extercond_Gd,extercond_TA,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,heating_GasW,heating_Grav,heating_Wall,centralair_Y,garagetype_Attchd,garagetype_Basment,garagetype_BuiltIn,garagetype_CarPort,garagetype_Detchd,miscfeature_Gar2,miscfeature_Othr,miscfeature_Shed,saletype_ConLD,saletype_ConLI,saletype_ConLw,saletype_New,saletype_Oth,saletype_WD,salecondition_Alloca,salecondition_Family,salecondition_Normal,salecondition_Partial
893,-0.8771555552291661,0.3783223772031754,-0.2554189480438944,-0.00576086399160556,2.1153494706415885,-0.3021034737154415,0.8880975129287894,-0.5022248287408667,0.5172811191650365,-0.3020491124934454,-0.3849544208727507,0.027380397831901354,-0.18399349904705994,-0.7656119535594672,-0.12157455702605537,-0.7734643856004602,-0.8380524814062785,3.857142191942235,-0.9240541334625051,-0.7479280225500364,0.26847609148981744,-0.22231727917043131,-0.2336380319118204,-0.9213129254870741,0.22797951121748825,-0.9120412166631359,-0.8770571651214986,0.954269137346833,-0.6761037292990245,-0.40458781272746736,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,-1.5187567954295043,-1.3544054847538949,0,4,3,3,3,3,1,6,1,3,5,3,8,0,2,3,3,3,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1106,0.09119764751910044,1.2524925546882428,0.4394816586388904,1.3960493739656965,-0.5228141630173405,0.7684573797421873,0.49559793100778426,1.2544187179959692,1.336581268922115,-0.3020491124934454,-0.304071002398558,0.9832311232798525,0.9393307325609616,1.8883893782717538,-0.12157455702605537,2.2298402472425205,1.0737547418017945,-0.23546507567089225,0.8418084776045859,1.1745630213285783,0.26847609148981744,-0.22231727917043131,1.6202289604319742,2.1780347040316546,0.29240318119141195,0.3634187223485291,1.1348161271653423,0.8990055079098338,-0.10282666518195692,-0.40458781272746736,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,-0.7960107324154638,1.6417036178834057,0,4,3,4,5,3,3,6,1,5,5,4,8,3,2,3,3,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
414,-0.6350672545420994,-0.05876271153935831,-0.15666420279433677,-0.7066659829702565,0.3565737148689691,-1.5453354325694622,-1.7122122172978695,-0.5022248287408667,-0.9547947596667876,-0.3020491124934454,1.0293499250188474,-0.0932839264201915,-0.2880050019737286,-0.7656119535594672,-0.12157455702605537,-0.850769524154977,-0.8380524814062785,-0.23546507567089225,-0.9240541334625051,-0.7479280225500364,-0.9265699255075396,-0.22231727917043131,-0.8515936960264185,0.6283608892722902,0.15316492673164137,0.3634187223485291,-0.44594145963146126,-0.8141670046371435,-0.6761037292990245,1.7456912770931339,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,-1.157383763922484,1.6417036178834057,2,4,3,3,3,3,1,1,1,4,4,3,8,4,1,3,3,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
523,-0.1508906531679662,-0.2460848924290156,-0.8729074100988209,-0.00576086399160556,1.2359615927552787,-0.8546510109838951,-1.7122122172978695,-0.5022248287408667,-0.06888484163677583,-0.3020491124934454,0.09803513515885712,-0.10274779498898308,-0.3504119037297298,0.7955653004588981,-0.12157455702605537,0.3783821788618413,-0.8380524814062785,-0.23546507567089225,0.8418084776045859,-0.7479280225500364,0.26847609148981744,-0.22231727917043131,0.38431763220277776,2.1780347040316546,0.200963133486488,0.3634187223485291,-0.1764941437001879,-0.8141670046371435,-0.24614593121122383,0.1908740890690068,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,1.3722274566266575,-1.3544054847538949,0,4,3,3,3,3,1,5,1,5,5,3,8,4,1,3,3,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1037,-0.8771555552291661,0.9715092833537569,0.5555998755806779,2.0969544929443473,-0.5228141630173405,1.217402253772806,1.1334097516294175,-0.16254237495197577,1.3143780128311373,-0.3020491124934454,0.08185845146401859,1.3546879646049226,1.2513652413409675,-0.7656119535594672,-0.12157455702605537,0.2933465264518727,1.0737547418017945,-0.23546507567089225,0.8418084776045859,-0.7479280225500364,-0.9265699255075396,-0.22231727917043131,-0.2336380319118204,0.6283608892722902,0.32149774182479685,1.6388786613601942,2.0329738469362533,1.2858509139688286,-0.6761037292990245,-0.40458781272746736,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,1.0108544251196372,0.8926763422240807,0,4,3,4,5,3,4,6,1,5,5,5,8,5,3,3,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
615,2.9962572557639002,-1.1514754333956925,-1.5075784743491831,-1.4075711019489074,0.3565737148689691,0.008704515998063647,-0.6328383670151054,-0.5022248287408667,-0.6217459183021214,2.3424466402851083,-1.3000925270379025,-0.9876195061709973,-1.3229194560940818,-0.7656119535594672,-0.12157455702605537,-1.61995565277242,1.0737547418017945,-0.23546507567089225,-0.9240541334625051,-0.7479280225500364,-2.1216159425048966,-0.22231727917043131,-2.087505024255615,-0.9213129254870741,-3.8514935261635515,-2.1875011556748007,-2.0626253552191014,0.07005106635484473,-0.24614593121122383,-0.40458781272746736,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,-0.4346377009084436,1.6417036178834057,0,4,3,3,4,3,3,2,6,5,5,3,8,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
219,-0.1508906531679662,-1.8071030665094931,1.0551614257258761,0.6951442549870455,2.994737348527898,-1.1309247796181219,1.0352848561491663,1.0117883938610472,-0.1976637269644467,-0.3020491124934454,-0.2439861772463006,-0.5901370262817502,-0.004573656498556507,1.1669362533087213,-0.12157455702605537,0.9388444333820886,-0.8380524814062785,3.857142191942235,-0.9240541334625051,1.1745630213285783,0.26847609148981744,-0.22231727917043131,1.002273296317376,2.1780347040316546,0.178103121560257,0.3634187223485291,-0.1270954691127878,-0.8141670046371435,1.4557703528863206,2.076503444757842,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,-0.4346377009084436,0.14364906656475543,0,4,3,4,3,3,1,4,1,5,5,4,8,3,1,3,3,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1161,2.512080654389767,-1.057814342950864,-1.3648724413786686,-0.00576086399160556,-0.5228141630173405,0.21590984247373374,-0.3384636805743516,-0.5022248287408667,-0.2642734952373799,-0.3020491124934454,-0.04293310846759301,-0.45527689917647,-0.7378547521315706,0.6560055156299837,-0.12157455702605537,-0.023604541621646456,-0.8380524814062785,-0.23546507567089225,0.8418084776045859,1.1745630213285783,0.26847609148981744,-0.22231727917043131,0.38431763220277776,0.6283608892722902,0.2591522547532578,0.3634187223485291,-0.0866783717230968,-0.5746912770768134,-0.6761037292990245,-0.40458781272746736,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,0.2881083621055968,1.6417036178834057,0,4,3,3,4,3,1,5,1,2,5,3,8,3,1,3,3,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
650,2.9962572557639002,-1.1514754333956925,-1.4270915482758257,-1.4075711019489074,0.3565737148689691,-0.060363926160493055,-0.7309632624953567,-0.5022248287408667,-0.6639321048749792,2.447124597165926,-1.3000925270379025,-0.9876195061709973,-1.3229194560940818,-0.7656119535594672,-0.12157455702605537,-1.61995565277242,1.0737547418017945,-0.23546507567089225,-0.9240541334625051,-0.7479280225500364,-2.1216159425048966,-0.22231727917043131,-2.087505024255615,-0.9213129254870741,-3.8514935261635515,-2.1875011556748007,-2.0626253552191014,-0.8141670046371435,-0.6761037292990245,-0.40458781272746736,-0.10399446051700235,-0.23890826802796214,-0.052414241836095915,-0.06442931515416599,2.094973519640698,-0.6053782090945697,0,4,3,3,4,3,3,4,6,4,5,3,8,0,0,0,0,3,0,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
888,-0.1508906531679662,0.03489837890547034,1.2009422401418899,-0.7066659829702565,1.2359615927552787,-0.5783772423496683,-1.4668999785972414,-0.5022248287408667,-0.9547947596667876,-0.3020491124934454,0.5856466008175617,-0.547549617722188,-0.6936498633877364,0.466771909082303,-0.12157455702605537,-0.14536013484501054,-0.8380524814062785,-0.23546507567089225,-0.9240541334625051,1.1745630213285783,0.26847609148981744,-0.22231727917043131,1.002273296317376,-0.9213129254870741,0.21135404799841118,-0.9120412166631359,-0.7153887755627346,0.30031618900900836,-0.6761037292990245,-0.40458781272746736,-0.10399446051700235,4.829835365445308,-0.052414241836095915,-0.06442931515416599,-0.7960107324154638,0.14364906656475543,0,4,3,3,3,3,1,1,1,3,5,3,8,0,1,3,3,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
